Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-264.40381859768684,0.06000000000000001,1000.0,11,220000,17,0.02022467367351055,0.00029339999999999987,24.60527594038876,8.759189797591027e-07,-0.02157946290132208,19.79706835746765,40.231905937194824,60.02897763252258,9.155272984173735e-09,1.4845281948172584e-10
-249.51283370364345,0.05700000000000001,1000.0,12,240000,13,0.020189644768834114,0.0002927999999999999,21.981696407517802,0.0008630246244426738,-0.018975135063467343,20.147549152374268,31.34272813796997,51.49028038978577,3.662109193669494e-08,4.5299528017572754e-10
-223.4571514855666,0.041,1000.0,13,260000,16,0.0213326346129179,0.0002921999999999999,23.390285977540305,5.351562870689616e-07,-0.021418159119427776,19.788288593292236,37.9385781288147,57.72686791419983,-2.2888182460434336e-09,-2.8824431730356537e-10
-182.47306803640836,0.031000000000000007,1000.0,14,280000,14,0.021199222654104233,0.0002915999999999999,23.249876848261742,3.526098997722294e-07,-0.02097283614791304,20.274890184402466,32.49258542060852,52.76747727394104,-6.866454960174906e-09,-5.7602301400949685e-11
-130.64563613559193,0.009,1000.0,15,300000,11,0.020003655925393105,0.00029099999999999986,28.420091258139585,0.00043527395552479163,-0.017621322078243518,20.196504831314087,25.453205347061157,45.649712800979614,-1.831054596834747e-08,-2.145767175054658e-10
-78.0700587237602,0.06600000000000002,1000.0,16,320000,9,0.020509205758571625,0.00029039999999999985,28.088217590732867,0.002151394056869143,-0.016157740006341677,19.47263264656067,20.497700452804565,39.97033452987671,1.2207030941624453e-08,4.768371461572052e-11
-28.49317065594935,0.19000000000000003,1000.0,17,340000,9,0.02048599161207676,0.00028979999999999983,28.88302188754124,0.0025761211648002436,-0.01688587551613834,19.378881216049194,21.64699387550354,41.025877952575684,-5.340575981449547e-09,1.9073485846288207e-10
31.341411912624004,0.279,1000.0,18,360000,8,0.02005271054804325,0.0002891999999999998,28.568763636552486,0.0046422151210534345,-0.015212370315938592,18.81687307357788,18.534076929092407,37.35095143318176,3.509521562250484e-08,-9.536742923144104e-11
87.30141720120028,0.29700000000000004,1000.0,19,380000,11,0.020223993808031082,0.0002885999999999998,33.292138877179504,0.0025597124869500224,-0.017538510148275257,19.029687643051147,25.20582675933838,44.23551607131958,2.6702879907247734e-08,3.8146971692576415e-10
138.47251865388404,0.433,1000.0,20,400000,11,0.02113400585949421,0.00028799999999999984,33.69246834736386,0.01450036643058096,-0.01727845188340639,18.364382028579712,25.222790241241455,43.58717370033264,6.027221388649195e-08,1.4305114870438729e-09
189.429329828515,0.718,1000.0,21,420000,10,0.02045517787337303,0.00028739999999999983,33.0817604908928,0.017790944816385837,-0.014619546754660602,18.476980209350586,22.620320796966553,41.09730243682861,3.890990996069377e-08,-4.768371253405235e-10
270.379416253475,1.201,1000.0,22,440000,10,0.0206880122423172,0.0002867999999999998,39.08422425334065,0.02186354244660758,-0.0158963240659275,19.409320831298828,22.057642936706543,41.466965198516846,-3.509521562250484e-08,0.0
325.09251051323565,1.6019999999999999,1000.0,23,460000,11,0.02032257802784443,0.0002861999999999998,45.990651969676996,0.030004551577692322,-0.01603451336244667,19.98742961883545,24.362472534179688,44.34990358352661,-5.340575981449547e-09,1.907348501362094e-09
372.77044247796914,2.007,1000.0,24,480000,8,0.02040216699242592,0.0002855999999999998,41.90921467028487,0.04843198061917355,-0.013307813550260054,18.863385438919067,17.963926792144775,36.8273138999939,2.4414061883248905e-08,2.5749204990432872e-09
438.0363227391637,2.76,1000.0,25,500000,6,0.022387418895959854,0.00028499999999999977,41.90109407812896,0.06450469423104296,-0.01067257640289224,19.1893527507782,13.42047929763794,32.60983467102051,5.8746337572301854e-08,-1.5258788677030566e-09
